persona_id,household_id,method,city,days,start_date,memory_sample_id,memory_source_event_id,memory_source_day,price_csv,vpp_start_hour,vpp_duration_hours,vpp_events_json,status,return_code,elapsed_s,output_dir,log_file,run_summary_path,exit_code,energy_kwh,energy_kwh_per_day,day_ahead_total_cost_eur,day_ahead_weighted_price_eur_per_kwh,day_ahead_price_unit,day_ahead_price_source,vpp_window_energy_kwh,vpp_window_energy_avg_per_hour_kwh,vpp_demand_achievement_ratio,vpp_appliance_avoidance_success_rate,user_pref_score,appliance_task_completion_rate,physical_appliance_task_completion_rate,policy_output_covered_appliance_services,policy_output_uncovered_appliance_services,policy_output_absent_appliance_services
household_s1_dual_commuter_standard,household_s1_dual_commuter_standard,no_dr,Tianjin,1,2025-07-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\tianjin_tou_price_normalized.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_event_configs\d01_hist_d01_1.json,skipped_done,0,0.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s1_dual_commuter_standard_no_dr_tianjin_d01_hist_d01_1_2025-07-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_dr_memory_tianjin_1day\household_s1_dual_commuter_standard_no_dr_tianjin_d01_hist_d01_1_2025-07-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s1_dual_commuter_standard_no_dr_tianjin_d01_hist_d01_1_2025-07-01_1day\run_summary.txt,0,79.283174,79.283174,76.782034,1.149374,normalized TOU cost/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\tianjin_tou_price_normalized.csv,6.2617,6.2617,1.0,1.0,,0.0,1.0,[],"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[]
household_s1_dual_commuter_standard,household_s1_dual_commuter_standard,mpc_dynamic,Tianjin,1,2025-07-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\tianjin_tou_price_normalized.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_event_configs\d01_hist_d01_1.json,skipped_done,0,0.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s1_dual_commuter_standard_mpc_dynamic_tianjin_d01_hist_d01_1_2025-07-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_dr_memory_tianjin_1day\household_s1_dual_commuter_standard_mpc_dynamic_tianjin_d01_hist_d01_1_2025-07-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s1_dual_commuter_standard_mpc_dynamic_tianjin_d01_hist_d01_1_2025-07-01_1day\run_summary.txt,0,81.164885,81.164885,63.926364,1.073153,normalized TOU cost/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\tianjin_tou_price_normalized.csv,3.3646,3.3646,0.0,0.0,2.643,1.0,1.0,"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],[]
household_s2_multigeneration_caregiver,household_s2_multigeneration_caregiver,mpc_dynamic,Tianjin,1,2025-07-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\tianjin_tou_price_normalized.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_event_configs\d01_hist_d01_1.json,skipped_done,0,0.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s2_multigeneration_caregiver_mpc_dynamic_tianjin_d01_hist_d01_1_2025-07-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_dr_memory_tianjin_1day\household_s2_multigeneration_caregiver_mpc_dynamic_tianjin_d01_hist_d01_1_2025-07-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s2_multigeneration_caregiver_mpc_dynamic_tianjin_d01_hist_d01_1_2025-07-01_1day\run_summary.txt,0,73.703835,73.703835,63.023003,1.115583,normalized TOU cost/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\tianjin_tou_price_normalized.csv,3.488,3.488,0.0,0.0,2.55,1.0,1.0,"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],[]
household_s3_hybrid_work_from_home,household_s3_hybrid_work_from_home,no_dr,Tianjin,1,2025-07-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\tianjin_tou_price_normalized.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_event_configs\d01_hist_d01_1.json,skipped_done,0,0.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s3_hybrid_work_from_home_no_dr_tianjin_d01_hist_d01_1_2025-07-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_dr_memory_tianjin_1day\household_s3_hybrid_work_from_home_no_dr_tianjin_d01_hist_d01_1_2025-07-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s3_hybrid_work_from_home_no_dr_tianjin_d01_hist_d01_1_2025-07-01_1day\run_summary.txt,0,75.38241,75.38241,73.137082,1.160363,normalized TOU cost/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\tianjin_tou_price_normalized.csv,6.2643,6.2643,1.0,1.0,,0.0,0.8,[],"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[]
household_s2_multigeneration_caregiver,household_s2_multigeneration_caregiver,no_dr,Tianjin,1,2025-07-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\tianjin_tou_price_normalized.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_event_configs\d01_hist_d01_1.json,skipped_done,0,0.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s2_multigeneration_caregiver_no_dr_tianjin_d01_hist_d01_1_2025-07-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_dr_memory_tianjin_1day\household_s2_multigeneration_caregiver_no_dr_tianjin_d01_hist_d01_1_2025-07-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s2_multigeneration_caregiver_no_dr_tianjin_d01_hist_d01_1_2025-07-01_1day\run_summary.txt,0,72.80931,72.80931,69.682187,1.183866,normalized TOU cost/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\tianjin_tou_price_normalized.csv,6.323,6.323,1.0,1.0,,0.0,1.0,[],"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[]
household_s3_hybrid_work_from_home,household_s3_hybrid_work_from_home,mpc_dynamic,Tianjin,1,2025-07-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\tianjin_tou_price_normalized.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_event_configs\d01_hist_d01_1.json,skipped_done,0,0.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s3_hybrid_work_from_home_mpc_dynamic_tianjin_d01_hist_d01_1_2025-07-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_dr_memory_tianjin_1day\household_s3_hybrid_work_from_home_mpc_dynamic_tianjin_d01_hist_d01_1_2025-07-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s3_hybrid_work_from_home_mpc_dynamic_tianjin_d01_hist_d01_1_2025-07-01_1day\run_summary.txt,0,75.886566,75.886566,63.296287,1.093817,normalized TOU cost/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\tianjin_tou_price_normalized.csv,2.9448,2.9448,0.0,0.0,2.633,1.0,1.0,"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],[]
household_s4_ev_commuter_flexible,household_s4_ev_commuter_flexible,mpc_dynamic,Tianjin,1,2025-07-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\tianjin_tou_price_normalized.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_event_configs\d01_hist_d01_1.json,skipped_done,0,0.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s4_ev_commuter_flexible_mpc_dynamic_tianjin_d01_hist_d01_1_2025-07-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_dr_memory_tianjin_1day\household_s4_ev_commuter_flexible_mpc_dynamic_tianjin_d01_hist_d01_1_2025-07-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s4_ev_commuter_flexible_mpc_dynamic_tianjin_d01_hist_d01_1_2025-07-01_1day\run_summary.txt,0,82.904513,82.904513,60.788489,1.029457,normalized TOU cost/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\tianjin_tou_price_normalized.csv,3.4204,3.4204,0.0,0.0,2.65,1.0,1.0,"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],[]
household_s5_shared_roommates_irregular,household_s5_shared_roommates_irregular,no_dr,Tianjin,1,2025-07-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\tianjin_tou_price_normalized.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_event_configs\d01_hist_d01_1.json,skipped_done,0,0.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s5_shared_roommates_irregular_no_dr_tianjin_d01_hist_d01_1_2025-07-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_dr_memory_tianjin_1day\household_s5_shared_roommates_irregular_no_dr_tianjin_d01_hist_d01_1_2025-07-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s5_shared_roommates_irregular_no_dr_tianjin_d01_hist_d01_1_2025-07-01_1day\run_summary.txt,0,75.202015,75.202015,72.700874,1.159093,normalized TOU cost/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\tianjin_tou_price_normalized.csv,6.2617,6.2617,1.0,1.0,,0.0,1.0,[],"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[]
household_s4_ev_commuter_flexible,household_s4_ev_commuter_flexible,no_dr,Tianjin,1,2025-07-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\tianjin_tou_price_normalized.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_event_configs\d01_hist_d01_1.json,skipped_done,0,0.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s4_ev_commuter_flexible_no_dr_tianjin_d01_hist_d01_1_2025-07-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_dr_memory_tianjin_1day\household_s4_ev_commuter_flexible_no_dr_tianjin_d01_hist_d01_1_2025-07-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s4_ev_commuter_flexible_no_dr_tianjin_d01_hist_d01_1_2025-07-01_1day\run_summary.txt,0,83.844044,83.844044,80.863193,1.140773,normalized TOU cost/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\tianjin_tou_price_normalized.csv,6.2617,6.2617,1.0,1.0,,0.0,1.0,[],"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[]
household_s5_shared_roommates_irregular,household_s5_shared_roommates_irregular,mpc_dynamic,Tianjin,1,2025-07-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\tianjin_tou_price_normalized.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_event_configs\d01_hist_d01_1.json,skipped_done,0,0.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s5_shared_roommates_irregular_mpc_dynamic_tianjin_d01_hist_d01_1_2025-07-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_dr_memory_tianjin_1day\household_s5_shared_roommates_irregular_mpc_dynamic_tianjin_d01_hist_d01_1_2025-07-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s5_shared_roommates_irregular_mpc_dynamic_tianjin_d01_hist_d01_1_2025-07-01_1day\run_summary.txt,0,75.807412,75.807412,54.492836,1.046864,normalized TOU cost/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\tianjin_tou_price_normalized.csv,3.4204,3.4204,0.0,0.0,2.612,1.0,1.0,"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],[]
household_s1_dual_commuter_standard,household_s1_dual_commuter_standard,no_dr,Germany,1,2025-07-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_event_configs\d01_hist_d01_1.json,skipped_done,0,0.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s1_dual_commuter_standard_no_dr_germany_d01_hist_d01_1_2025-07-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_dr_memory_germany_1day\household_s1_dual_commuter_standard_no_dr_germany_d01_hist_d01_1_2025-07-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s1_dual_commuter_standard_no_dr_germany_d01_hist_d01_1_2025-07-01_1day\run_summary.txt,0,79.528543,79.528543,29.774308,0.147807,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,11.2228,11.2228,1.0,1.0,,0.0,1.0,[],"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[]
household_s3_hybrid_work_from_home,household_s3_hybrid_work_from_home,no_dr,Germany,1,2025-07-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_event_configs\d01_hist_d01_1.json,skipped_done,0,0.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s3_hybrid_work_from_home_no_dr_germany_d01_hist_d01_1_2025-07-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_dr_memory_germany_1day\household_s3_hybrid_work_from_home_no_dr_germany_d01_hist_d01_1_2025-07-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s3_hybrid_work_from_home_no_dr_germany_d01_hist_d01_1_2025-07-01_1day\run_summary.txt,0,76.036833,76.036833,29.466441,0.148518,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,11.2333,11.2333,1.0,1.0,,0.0,0.8,[],"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[]
household_s2_multigeneration_caregiver,household_s2_multigeneration_caregiver,mpc_dynamic,Germany,1,2025-07-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_event_configs\d01_hist_d01_1.json,skipped_done,0,0.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s2_multigeneration_caregiver_mpc_dynamic_germany_d01_hist_d01_1_2025-07-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_dr_memory_germany_1day\household_s2_multigeneration_caregiver_mpc_dynamic_germany_d01_hist_d01_1_2025-07-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s2_multigeneration_caregiver_mpc_dynamic_germany_d01_hist_d01_1_2025-07-01_1day\run_summary.txt,0,75.352305,75.352305,26.991932,0.140956,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,8.5359,8.5359,0.0,0.0,2.55,1.0,1.0,"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],[]
household_s2_multigeneration_caregiver,household_s2_multigeneration_caregiver,no_dr,Germany,1,2025-07-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_event_configs\d01_hist_d01_1.json,skipped_done,0,0.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s2_multigeneration_caregiver_no_dr_germany_d01_hist_d01_1_2025-07-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_dr_memory_germany_1day\household_s2_multigeneration_caregiver_no_dr_germany_d01_hist_d01_1_2025-07-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s2_multigeneration_caregiver_no_dr_germany_d01_hist_d01_1_2025-07-01_1day\run_summary.txt,0,71.914899,71.914899,28.902081,0.149171,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,11.277,11.277,1.0,1.0,,0.0,1.0,[],"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[]
household_s1_dual_commuter_standard,household_s1_dual_commuter_standard,mpc_dynamic,Germany,1,2025-07-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_event_configs\d01_hist_d01_1.json,skipped_done,0,0.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s1_dual_commuter_standard_mpc_dynamic_germany_d01_hist_d01_1_2025-07-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_dr_memory_germany_1day\household_s1_dual_commuter_standard_mpc_dynamic_germany_d01_hist_d01_1_2025-07-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s1_dual_commuter_standard_mpc_dynamic_germany_d01_hist_d01_1_2025-07-01_1day\run_summary.txt,0,85.711625,85.711625,28.063962,0.142155,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,8.0653,8.0653,0.0,0.0,2.612,1.0,1.0,"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],[]
household_s3_hybrid_work_from_home,household_s3_hybrid_work_from_home,mpc_dynamic,Germany,1,2025-07-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_event_configs\d01_hist_d01_1.json,skipped_done,0,0.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s3_hybrid_work_from_home_mpc_dynamic_germany_d01_hist_d01_1_2025-07-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_dr_memory_germany_1day\household_s3_hybrid_work_from_home_mpc_dynamic_germany_d01_hist_d01_1_2025-07-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s3_hybrid_work_from_home_mpc_dynamic_germany_d01_hist_d01_1_2025-07-01_1day\run_summary.txt,0,75.832566,75.832566,27.484386,0.14174,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,8.2179,8.2179,0.0,0.0,2.633,1.0,1.0,"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],[]
household_s4_ev_commuter_flexible,household_s4_ev_commuter_flexible,no_dr,Germany,1,2025-07-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_event_configs\d01_hist_d01_1.json,skipped_done,0,0.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s4_ev_commuter_flexible_no_dr_germany_d01_hist_d01_1_2025-07-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_dr_memory_germany_1day\household_s4_ev_commuter_flexible_no_dr_germany_d01_hist_d01_1_2025-07-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s4_ev_commuter_flexible_no_dr_germany_d01_hist_d01_1_2025-07-01_1day\run_summary.txt,0,84.003906,84.003906,30.035655,0.147323,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,11.2228,11.2228,1.0,1.0,,0.0,1.0,[],"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[]
household_s5_shared_roommates_irregular,household_s5_shared_roommates_irregular,no_dr,Germany,1,2025-07-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_event_configs\d01_hist_d01_1.json,skipped_done,0,0.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s5_shared_roommates_irregular_no_dr_germany_d01_hist_d01_1_2025-07-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_dr_memory_germany_1day\household_s5_shared_roommates_irregular_no_dr_germany_d01_hist_d01_1_2025-07-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s5_shared_roommates_irregular_no_dr_germany_d01_hist_d01_1_2025-07-01_1day\run_summary.txt,0,75.740138,75.740138,29.470785,0.148448,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,11.2228,11.2228,1.0,1.0,,0.0,1.0,[],"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[]
household_s4_ev_commuter_flexible,household_s4_ev_commuter_flexible,mpc_dynamic,Germany,1,2025-07-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_event_configs\d01_hist_d01_1.json,skipped_done,0,0.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s4_ev_commuter_flexible_mpc_dynamic_germany_d01_hist_d01_1_2025-07-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_dr_memory_germany_1day\household_s4_ev_commuter_flexible_mpc_dynamic_germany_d01_hist_d01_1_2025-07-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s4_ev_commuter_flexible_mpc_dynamic_germany_d01_hist_d01_1_2025-07-01_1day\run_summary.txt,0,87.438736,87.438736,28.110627,0.142091,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,8.033,8.033,0.0,0.0,2.65,1.0,1.0,"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],[]
household_s5_shared_roommates_irregular,household_s5_shared_roommates_irregular,mpc_dynamic,Germany,1,2025-07-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_event_configs\d01_hist_d01_1.json,skipped_done,0,0.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s5_shared_roommates_irregular_mpc_dynamic_germany_d01_hist_d01_1_2025-07-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\_batch_logs\daily_dr_memory_germany_1day\household_s5_shared_roommates_irregular_mpc_dynamic_germany_d01_hist_d01_1_2025-07-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-21_july\household_s5_shared_roommates_irregular_mpc_dynamic_germany_d01_hist_d01_1_2025-07-01_1day\run_summary.txt,0,78.211199,78.211199,27.526239,0.142928,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,8.033,8.033,0.0,0.0,2.612,1.0,1.0,"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],[]
