persona_id,household_id,method,city,days,start_date,memory_sample_id,memory_source_event_id,memory_source_day,price_csv,vpp_start_hour,vpp_duration_hours,vpp_events_json,status,return_code,elapsed_s,output_dir,log_file,run_summary_path,exit_code,energy_kwh,energy_kwh_per_day,day_ahead_total_cost_eur,day_ahead_weighted_price_eur_per_kwh,day_ahead_price_unit,day_ahead_price_source,vpp_window_energy_kwh,vpp_window_energy_avg_per_hour_kwh,vpp_demand_achievement_ratio,vpp_appliance_avoidance_success_rate,user_pref_score,appliance_task_completion_rate,physical_appliance_task_completion_rate,policy_output_covered_appliance_services,policy_output_uncovered_appliance_services,policy_output_absent_appliance_services,counterfactual_baseline_status,counterfactual_baseline_id,counterfactual_baseline_source,counterfactual_baseline_basis,counterfactual_baseline_event_count,counterfactual_baseline_vpp_window_kwh,counterfactual_actual_vpp_window_kwh,counterfactual_capacity_upper_bound_total_kwh,counterfactual_capacity_upper_bound_avg_per_hour_kwh,counterfactual_actual_shed_total_kwh,counterfactual_actual_shed_avg_per_hour_kwh,counterfactual_delivery_ratio_vs_baseline_upper_bound_total,vpp_energy_reduction_total_kwh,vpp_energy_reduction_avg_per_hour_kwh,vpp_energy_reduction_basis
household_s1_dual_commuter_standard,household_s1_dual_commuter_standard,no_dr,Germany,1,2025-06-01,d01_hist_d01_1,hist_d01_1,1,/home/hku_user3/EnergyBridge/experiments/real_data/germany_2025_price.csv,18.0,1.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_event_configs/d01_hist_d01_1.json,skipped_done,0,0.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s1_dual_commuter_standard_no_dr_germany_d01_hist_d01_1_2025-06-01_1day,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_dr_memory_germany_1day/household_s1_dual_commuter_standard_no_dr_germany_d01_hist_d01_1_2025-06-01_1day.log,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s1_dual_commuter_standard_no_dr_germany_d01_hist_d01_1_2025-06-01_1day/run_summary.txt,0,40.097881,40.097881,8.510018,0.048374,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,10.6596,10.6596,1.0,1.0,,0.0,1.0,[],"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],matched,household_s1_dual_commuter_standard|germany|1days|2025-06-01|no_dr,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s1_dual_commuter_standard_no_dr_germany_d01_hist_d01_1_2025-06-01_1day/benchmark_result.json,no_dr_counterfactual_event_window_energy,1,10.6596,10.6596,10.6596,10.6596,0.0,0.0,0.0,0.0,0.0,no_dr_counterfactual_baseline
household_s3_hybrid_work_from_home,household_s3_hybrid_work_from_home,no_dr,Germany,1,2025-06-01,d01_hist_d01_1,hist_d01_1,1,/home/hku_user3/EnergyBridge/experiments/real_data/germany_2025_price.csv,18.0,1.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_event_configs/d01_hist_d01_1.json,skipped_done,0,0.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s3_hybrid_work_from_home_no_dr_germany_d01_hist_d01_1_2025-06-01_1day,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_dr_memory_germany_1day/household_s3_hybrid_work_from_home_no_dr_germany_d01_hist_d01_1_2025-06-01_1day.log,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s3_hybrid_work_from_home_no_dr_germany_d01_hist_d01_1_2025-06-01_1day/run_summary.txt,0,38.319009,38.319009,8.332233,0.047963,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,10.667,10.667,1.0,1.0,,0.0,0.8,[],"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],matched,household_s3_hybrid_work_from_home|germany|1days|2025-06-01|no_dr,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s3_hybrid_work_from_home_no_dr_germany_d01_hist_d01_1_2025-06-01_1day/benchmark_result.json,no_dr_counterfactual_event_window_energy,1,10.667,10.667,10.667,10.667,0.0,0.0,0.0,0.0,0.0,no_dr_counterfactual_baseline
household_s1_dual_commuter_standard,household_s1_dual_commuter_standard,EnergyBridge,Germany,1,2025-06-01,d01_hist_d01_1,hist_d01_1,1,/home/hku_user3/EnergyBridge/experiments/real_data/germany_2025_price.csv,18.0,1.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_event_configs/d01_hist_d01_1.json,skipped_done,0,0.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s1_dual_commuter_standard_EnergyBridge_germany_d01_hist_d01_1_2025-06-01_1day,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_dr_memory_germany_1day/household_s1_dual_commuter_standard_EnergyBridge_germany_d01_hist_d01_1_2025-06-01_1day.log,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s1_dual_commuter_standard_EnergyBridge_germany_d01_hist_d01_1_2025-06-01_1day/run_summary.txt,0,41.268862,41.268862,7.926206,0.045881,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,6.3804,6.3804,1.0,1.0,4.0,1.0,1.0,"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],[],matched,household_s1_dual_commuter_standard|germany|1days|2025-06-01|no_dr,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s1_dual_commuter_standard_no_dr_germany_d01_hist_d01_1_2025-06-01_1day/benchmark_result.json,no_dr_counterfactual_event_window_energy,1,10.6596,6.3804,10.6596,10.6596,4.2792,4.2792,0.401441,4.2792,4.2792,no_dr_counterfactual_baseline
household_s4_ev_commuter_flexible,household_s4_ev_commuter_flexible,no_dr,Germany,1,2025-06-01,d01_hist_d01_1,hist_d01_1,1,/home/hku_user3/EnergyBridge/experiments/real_data/germany_2025_price.csv,18.0,1.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_event_configs/d01_hist_d01_1.json,skipped_done,0,0.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s4_ev_commuter_flexible_no_dr_germany_d01_hist_d01_1_2025-06-01_1day,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_dr_memory_germany_1day/household_s4_ev_commuter_flexible_no_dr_germany_d01_hist_d01_1_2025-06-01_1day.log,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s4_ev_commuter_flexible_no_dr_germany_d01_hist_d01_1_2025-06-01_1day/run_summary.txt,0,42.138461,42.138461,8.69012,0.048831,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,10.6596,10.6596,1.0,1.0,,0.0,1.0,[],"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],matched,household_s4_ev_commuter_flexible|germany|1days|2025-06-01|no_dr,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s4_ev_commuter_flexible_no_dr_germany_d01_hist_d01_1_2025-06-01_1day/benchmark_result.json,no_dr_counterfactual_event_window_energy,1,10.6596,10.6596,10.6596,10.6596,0.0,0.0,0.0,0.0,0.0,no_dr_counterfactual_baseline
household_s5_shared_roommates_irregular,household_s5_shared_roommates_irregular,no_dr,Germany,1,2025-06-01,d01_hist_d01_1,hist_d01_1,1,/home/hku_user3/EnergyBridge/experiments/real_data/germany_2025_price.csv,18.0,1.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_event_configs/d01_hist_d01_1.json,skipped_done,0,0.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s5_shared_roommates_irregular_no_dr_germany_d01_hist_d01_1_2025-06-01_1day,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_dr_memory_germany_1day/household_s5_shared_roommates_irregular_no_dr_germany_d01_hist_d01_1_2025-06-01_1day.log,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s5_shared_roommates_irregular_no_dr_germany_d01_hist_d01_1_2025-06-01_1day/run_summary.txt,0,38.057301,38.057301,8.329917,0.047906,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,10.6596,10.6596,1.0,1.0,,0.0,1.0,[],"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],matched,household_s5_shared_roommates_irregular|germany|1days|2025-06-01|no_dr,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s5_shared_roommates_irregular_no_dr_germany_d01_hist_d01_1_2025-06-01_1day/benchmark_result.json,no_dr_counterfactual_event_window_energy,1,10.6596,10.6596,10.6596,10.6596,0.0,0.0,0.0,0.0,0.0,no_dr_counterfactual_baseline
household_s2_multigeneration_caregiver,household_s2_multigeneration_caregiver,no_dr,Germany,1,2025-06-01,d01_hist_d01_1,hist_d01_1,1,/home/hku_user3/EnergyBridge/experiments/real_data/germany_2025_price.csv,18.0,1.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_event_configs/d01_hist_d01_1.json,skipped_done,0,0.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s2_multigeneration_caregiver_no_dr_germany_d01_hist_d01_1_2025-06-01_1day,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_dr_memory_germany_1day/household_s2_multigeneration_caregiver_no_dr_germany_d01_hist_d01_1_2025-06-01_1day.log,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s2_multigeneration_caregiver_no_dr_germany_d01_hist_d01_1_2025-06-01_1day/run_summary.txt,0,36.942831,36.942831,8.15777,0.047351,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,10.6961,10.6961,1.0,1.0,,0.0,1.0,[],"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],matched,household_s2_multigeneration_caregiver|germany|1days|2025-06-01|no_dr,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s2_multigeneration_caregiver_no_dr_germany_d01_hist_d01_1_2025-06-01_1day/benchmark_result.json,no_dr_counterfactual_event_window_energy,1,10.6961,10.6961,10.6961,10.6961,0.0,0.0,0.0,0.0,0.0,no_dr_counterfactual_baseline
household_s2_multigeneration_caregiver,household_s2_multigeneration_caregiver,EnergyBridge,Germany,1,2025-06-01,d01_hist_d01_1,hist_d01_1,1,/home/hku_user3/EnergyBridge/experiments/real_data/germany_2025_price.csv,18.0,1.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_event_configs/d01_hist_d01_1.json,skipped_done,0,0.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s2_multigeneration_caregiver_EnergyBridge_germany_d01_hist_d01_1_2025-06-01_1day,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_dr_memory_germany_1day/household_s2_multigeneration_caregiver_EnergyBridge_germany_d01_hist_d01_1_2025-06-01_1day.log,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s2_multigeneration_caregiver_EnergyBridge_germany_d01_hist_d01_1_2025-06-01_1day/run_summary.txt,0,35.936206,35.936206,7.513028,0.044102,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,6.3531,6.3531,1.0,1.0,4.4,1.0,1.0,"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],[],matched,household_s2_multigeneration_caregiver|germany|1days|2025-06-01|no_dr,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s2_multigeneration_caregiver_no_dr_germany_d01_hist_d01_1_2025-06-01_1day/benchmark_result.json,no_dr_counterfactual_event_window_energy,1,10.6961,6.3531,10.6961,10.6961,4.343,4.343,0.406036,4.343,4.343,no_dr_counterfactual_baseline
household_s5_shared_roommates_irregular,household_s5_shared_roommates_irregular,EnergyBridge,Germany,1,2025-06-01,d01_hist_d01_1,hist_d01_1,1,/home/hku_user3/EnergyBridge/experiments/real_data/germany_2025_price.csv,18.0,1.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_event_configs/d01_hist_d01_1.json,skipped_done,0,0.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s5_shared_roommates_irregular_EnergyBridge_germany_d01_hist_d01_1_2025-06-01_1day,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_dr_memory_germany_1day/household_s5_shared_roommates_irregular_EnergyBridge_germany_d01_hist_d01_1_2025-06-01_1day.log,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s5_shared_roommates_irregular_EnergyBridge_germany_d01_hist_d01_1_2025-06-01_1day/run_summary.txt,0,39.228283,39.228283,7.77004,0.045515,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,6.3804,6.3804,1.0,1.0,4.25,1.0,1.0,"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],[],matched,household_s5_shared_roommates_irregular|germany|1days|2025-06-01|no_dr,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s5_shared_roommates_irregular_no_dr_germany_d01_hist_d01_1_2025-06-01_1day/benchmark_result.json,no_dr_counterfactual_event_window_energy,1,10.6596,6.3804,10.6596,10.6596,4.2792,4.2792,0.401441,4.2792,4.2792,no_dr_counterfactual_baseline
household_s3_hybrid_work_from_home,household_s3_hybrid_work_from_home,EnergyBridge,Germany,1,2025-06-01,d01_hist_d01_1,hist_d01_1,1,/home/hku_user3/EnergyBridge/experiments/real_data/germany_2025_price.csv,18.0,1.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_event_configs/d01_hist_d01_1.json,skipped_done,0,0.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s3_hybrid_work_from_home_EnergyBridge_germany_d01_hist_d01_1_2025-06-01_1day,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_dr_memory_germany_1day/household_s3_hybrid_work_from_home_EnergyBridge_germany_d01_hist_d01_1_2025-06-01_1day.log,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s3_hybrid_work_from_home_EnergyBridge_germany_d01_hist_d01_1_2025-06-01_1day/run_summary.txt,0,37.915036,37.915036,7.739083,0.045202,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,6.2659,6.2659,1.0,1.0,4.0,1.0,1.0,"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],[],matched,household_s3_hybrid_work_from_home|germany|1days|2025-06-01|no_dr,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s3_hybrid_work_from_home_no_dr_germany_d01_hist_d01_1_2025-06-01_1day/benchmark_result.json,no_dr_counterfactual_event_window_energy,1,10.667,6.2659,10.667,10.667,4.4011,4.4011,0.41259,4.4011,4.4011,no_dr_counterfactual_baseline
household_s1_dual_commuter_standard,household_s1_dual_commuter_standard,no_dr,Germany,1,2025-06-02,d02_hist_d02_1_patched,hist_d02_1_patched,2,/home/hku_user3/EnergyBridge/experiments/real_data/germany_2025_price.csv,18.0,1.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_event_configs/d02_hist_d02_1_patched.json,skipped_done,0,0.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s1_dual_commuter_standard_no_dr_germany_d02_hist_d02_1_patched_2025-06-02_1day,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_dr_memory_germany_1day/household_s1_dual_commuter_standard_no_dr_germany_d02_hist_d02_1_patched_2025-06-02_1day.log,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s1_dual_commuter_standard_no_dr_germany_d02_hist_d02_1_patched_2025-06-02_1day/run_summary.txt,0,36.989259,36.989259,17.595047,0.101459,EUR/kWh,/home/hku_user3/EnergyBridge/experiments/real_data/germany_2025_price.csv,10.4411,10.4411,1.0,1.0,,0.0,1.0,[],"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],matched,household_s1_dual_commuter_standard|germany|1days|2025-06-02|no_dr,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s1_dual_commuter_standard_no_dr_germany_d02_hist_d02_1_patched_2025-06-02_1day/benchmark_result.json,no_dr_counterfactual_event_window_energy,1,10.4411,10.4411,10.4411,10.4411,0.0,0.0,0.0,0.0,0.0,no_dr_counterfactual_baseline
household_s4_ev_commuter_flexible,household_s4_ev_commuter_flexible,EnergyBridge,Germany,1,2025-06-01,d01_hist_d01_1,hist_d01_1,1,/home/hku_user3/EnergyBridge/experiments/real_data/germany_2025_price.csv,18.0,1.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_event_configs/d01_hist_d01_1.json,skipped_done,0,0.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s4_ev_commuter_flexible_EnergyBridge_germany_d01_hist_d01_1_2025-06-01_1day,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_dr_memory_germany_1day/household_s4_ev_commuter_flexible_EnergyBridge_germany_d01_hist_d01_1_2025-06-01_1day.log,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s4_ev_commuter_flexible_EnergyBridge_germany_d01_hist_d01_1_2025-06-01_1day/run_summary.txt,0,43.309442,43.309442,8.161611,0.046693,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,6.3804,6.3804,1.0,1.0,4.25,1.0,1.0,"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],[],matched,household_s4_ev_commuter_flexible|germany|1days|2025-06-01|no_dr,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s4_ev_commuter_flexible_no_dr_germany_d01_hist_d01_1_2025-06-01_1day/benchmark_result.json,no_dr_counterfactual_event_window_energy,1,10.6596,6.3804,10.6596,10.6596,4.2792,4.2792,0.401441,4.2792,4.2792,no_dr_counterfactual_baseline
household_s2_multigeneration_caregiver,household_s2_multigeneration_caregiver,EnergyBridge,Germany,1,2025-06-02,d02_hist_d02_1_patched,hist_d02_1_patched,2,/home/hku_user3/EnergyBridge/experiments/real_data/germany_2025_price.csv,18.0,1.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_event_configs/d02_hist_d02_1_patched.json,skipped_done,0,0.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s2_multigeneration_caregiver_EnergyBridge_germany_d02_hist_d02_1_patched_2025-06-02_1day,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_dr_memory_germany_1day/household_s2_multigeneration_caregiver_EnergyBridge_germany_d02_hist_d02_1_patched_2025-06-02_1day.log,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s2_multigeneration_caregiver_EnergyBridge_germany_d02_hist_d02_1_patched_2025-06-02_1day/run_summary.txt,0,38.427487,38.427487,15.567866,0.09241,EUR/kWh,/home/hku_user3/EnergyBridge/experiments/real_data/germany_2025_price.csv,6.2205,6.2205,1.0,1.0,4.2,1.0,1.0,"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],[],matched,household_s2_multigeneration_caregiver|germany|1days|2025-06-02|no_dr,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s2_multigeneration_caregiver_no_dr_germany_d02_hist_d02_1_patched_2025-06-02_1day/benchmark_result.json,no_dr_counterfactual_event_window_energy,1,10.4792,6.2205,10.4792,10.4792,4.2587,4.2587,0.406396,4.2587,4.2587,no_dr_counterfactual_baseline
household_s2_multigeneration_caregiver,household_s2_multigeneration_caregiver,no_dr,Germany,1,2025-06-02,d02_hist_d02_1_patched,hist_d02_1_patched,2,/home/hku_user3/EnergyBridge/experiments/real_data/germany_2025_price.csv,18.0,1.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_event_configs/d02_hist_d02_1_patched.json,skipped_done,0,0.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s2_multigeneration_caregiver_no_dr_germany_d02_hist_d02_1_patched_2025-06-02_1day,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_dr_memory_germany_1day/household_s2_multigeneration_caregiver_no_dr_germany_d02_hist_d02_1_patched_2025-06-02_1day.log,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s2_multigeneration_caregiver_no_dr_germany_d02_hist_d02_1_patched_2025-06-02_1day/run_summary.txt,0,33.76464,33.76464,17.142352,0.101097,EUR/kWh,/home/hku_user3/EnergyBridge/experiments/real_data/germany_2025_price.csv,10.4792,10.4792,1.0,1.0,,0.0,1.0,[],"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],matched,household_s2_multigeneration_caregiver|germany|1days|2025-06-02|no_dr,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s2_multigeneration_caregiver_no_dr_germany_d02_hist_d02_1_patched_2025-06-02_1day/benchmark_result.json,no_dr_counterfactual_event_window_energy,1,10.4792,10.4792,10.4792,10.4792,0.0,0.0,0.0,0.0,0.0,no_dr_counterfactual_baseline
household_s3_hybrid_work_from_home,household_s3_hybrid_work_from_home,no_dr,Germany,1,2025-06-02,d02_hist_d02_1_patched,hist_d02_1_patched,2,/home/hku_user3/EnergyBridge/experiments/real_data/germany_2025_price.csv,18.0,1.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_event_configs/d02_hist_d02_1_patched.json,skipped_done,0,0.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s3_hybrid_work_from_home_no_dr_germany_d02_hist_d02_1_patched_2025-06-02_1day,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_dr_memory_germany_1day/household_s3_hybrid_work_from_home_no_dr_germany_d02_hist_d02_1_patched_2025-06-02_1day.log,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s3_hybrid_work_from_home_no_dr_germany_d02_hist_d02_1_patched_2025-06-02_1day/run_summary.txt,0,35.25765,35.25765,17.361668,0.101412,EUR/kWh,/home/hku_user3/EnergyBridge/experiments/real_data/germany_2025_price.csv,10.4502,10.4502,1.0,1.0,,0.0,0.8,[],"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],matched,household_s3_hybrid_work_from_home|germany|1days|2025-06-02|no_dr,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s3_hybrid_work_from_home_no_dr_germany_d02_hist_d02_1_patched_2025-06-02_1day/benchmark_result.json,no_dr_counterfactual_event_window_energy,1,10.4502,10.4502,10.4502,10.4502,0.0,0.0,0.0,0.0,0.0,no_dr_counterfactual_baseline
household_s4_ev_commuter_flexible,household_s4_ev_commuter_flexible,no_dr,Germany,1,2025-06-02,d02_hist_d02_1_patched,hist_d02_1_patched,2,/home/hku_user3/EnergyBridge/experiments/real_data/germany_2025_price.csv,18.0,1.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_event_configs/d02_hist_d02_1_patched.json,skipped_done,0,0.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s4_ev_commuter_flexible_no_dr_germany_d02_hist_d02_1_patched_2025-06-02_1day,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_dr_memory_germany_1day/household_s4_ev_commuter_flexible_no_dr_germany_d02_hist_d02_1_patched_2025-06-02_1day.log,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s4_ev_commuter_flexible_no_dr_germany_d02_hist_d02_1_patched_2025-06-02_1day/run_summary.txt,0,39.029839,39.029839,17.817878,0.101549,EUR/kWh,/home/hku_user3/EnergyBridge/experiments/real_data/germany_2025_price.csv,10.4411,10.4411,1.0,1.0,,0.0,1.0,[],"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],matched,household_s4_ev_commuter_flexible|germany|1days|2025-06-02|no_dr,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s4_ev_commuter_flexible_no_dr_germany_d02_hist_d02_1_patched_2025-06-02_1day/benchmark_result.json,no_dr_counterfactual_event_window_energy,1,10.4411,10.4411,10.4411,10.4411,0.0,0.0,0.0,0.0,0.0,no_dr_counterfactual_baseline
household_s3_hybrid_work_from_home,household_s3_hybrid_work_from_home,EnergyBridge,Germany,1,2025-06-02,d02_hist_d02_1_patched,hist_d02_1_patched,2,/home/hku_user3/EnergyBridge/experiments/real_data/germany_2025_price.csv,18.0,1.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_event_configs/d02_hist_d02_1_patched.json,skipped_done,0,0.0,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s3_hybrid_work_from_home_EnergyBridge_germany_d02_hist_d02_1_patched_2025-06-02_1day,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/_batch_logs/daily_dr_memory_germany_1day/household_s3_hybrid_work_from_home_EnergyBridge_germany_d02_hist_d02_1_patched_2025-06-02_1day.log,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s3_hybrid_work_from_home_EnergyBridge_germany_d02_hist_d02_1_patched_2025-06-02_1day/run_summary.txt,0,37.513807,37.513807,15.758756,0.093007,EUR/kWh,/home/hku_user3/EnergyBridge/experiments/real_data/germany_2025_price.csv,6.1234,6.1234,1.0,1.0,4.0,1.0,1.0,"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],[],matched,household_s3_hybrid_work_from_home|germany|1days|2025-06-02|no_dr,/home/hku_user3/EnergyBridge/benchmark_results/vpp_patch_2026-07-15/household_s3_hybrid_work_from_home_no_dr_germany_d02_hist_d02_1_patched_2025-06-02_1day/benchmark_result.json,no_dr_counterfactual_event_window_energy,1,10.4502,6.1234,10.4502,10.4502,4.3268,4.3268,0.41404,4.3268,4.3268,no_dr_counterfactual_baseline
